Aimag,Sum,Point_name,Class,PID,B_gradWGS84,B_minWGS84,B_secWGS84,L_gradWGS84,L_minWGS84,L_secWGS84,N_UTM,E_UTM,Ondor,Gravity,RMS,B_degree,L_degree
Баянхонгор,Баянговь,Өргөн,I,G0007,44.000,44,0,100,23,45,,,1580.349,980078.480,0.026,44.733,100.396
Архангай,Чулуут,Чулуут,II,G086,47,31,53.0238,100,13,47.6439,5264951.872,592572.217,2035.936,980171.6,0.04,47.53,100.23
Архангай,Эрдэнэмандал,Эрдэнэмандал,II,G043,48,31,19.7125,101,21,28.5827,5377021.603,674103.513,1517.34,980417.39,0.06,48.52,101.36
Архангай,Тариат,Тариат,II,G032,48,8,57.1160,99,54,53.8488,5333288.047,568054.42,2058.452,980223.74,0.07,48.15,99.91
Архангай,Өлзийт,Өлзийт,II,G3506,48,6,7.5203,102,33,15.5204,5330540.33,317928.759,1301.055,980447.15,0.1,48.10,102.55
Баян-Өлгий,Ногооннуур,Ногооннуур,II,G096,49,37,4.0000,90,13,11.0000,5499847.683,299182.974,1533.304,980501.94,0.04,49.62,90.22
Баян-Өлгий,Толбо,Толбо,II,G033,48,24,39.5730,90,17,37.1952,5365520.642,299737.057,2114.356,980243.81,0.06,48.41,90.29
Баян-Өлгий,Цэнгэл,Цэнгэл,II,G041,48,57,23.3580,89,8,57.4280,5424844.982,657336.023,1885.127,980349.48,0.04,48.96,89.15
Баян-Өлгий,Буянт,Буянт,II,G040,48,34,27.7800,89,32,32.8853,5383264.797,687534.273,1968.687,980283.85,0.04,48.57,89.54
Баянхонгор,Шинэжинст,Эхийн гол,II,G3697,43,20,42.0000,99,4,20.0000,4799130.151,505853.672,834.853,980135,0.07,43.35,99.07
Баянхонгор,Заг,Заг,II,G079,46,57,17.5471,99,11,36.3539,5200167.601,514718.199,2000.702,980135.47,0.05,46.95,99.19
Баянхонгор,Галуут,Галуут,II,G080,46,42,21.2135,100,8,41.2350,5173118.214,587509.221,2133.638,980072.72,0.04,46.71,100.14
Баянхонгор,Бууцагаан,Бууцагаан,II,G069,46,10,32.6585,98,41,51.0942,5113618.008,476653.011,1951.377,980100.1,0.06,46.18,98.70
Баянхонгор,Баацагаан,Баацагаан,II,G074,45,34,9.4869,99,25,24.6197,5046283.934,533045.854,1326.342,980176.54,0.05,45.57,99.42
Баянхонгор,Богд,Богд,II,G045,45,9,38.8497,100,42,44.6706,5002238.873,634585.932,1254.52,980167.82,0.04,45.16,100.71
Баянхонгор,Баянөндөр,Баянөндөр,II,G073,44,49,22.0000,98,37,18.0000,4963333.176,470089.766,2375.315,979897.87,0.06,44.82,98.62
Баянхонгор,Шинэжинст,Шинэжинст,II,G6301,44,34,24.9360,99,16,55.3109,4935622.458,522392.671,2179.924,979932.63,0.04,44.57,99.28
Булган,Гурванбулаг,Гурванбулаг,II,G3695,47,43,51.5179,103,28,30.1146,5287526.316,385655.351,1095.686,980468.24,0.06,47.73,103.48
Булган,Тэшиг,Тэшиг,II,G3807,49,56,36.3555,102,39,31.2990,5534198.722,332597.971,1006.739,980701.12,0.06,49.94,102.66
Булган,Хутаг-Өндөр,Хутаг-Өндөр,II,G082,49,23,43.1315,102,41,8.8187,5473977.777,332082.905,953.206,980661.75,0.05,49.40,102.69
Булган,Баян-Агт,Баян-Агт,II,G061,49,2,9.8424,102,5,35.3178,5435536.371,287551.486,1506.434,980510.59,0.05,49.04,102.09
Говь-Алтай,Баян-Уул,Баян-Уул,II,G054,46,59,47.0000,95,13,15.0000,5207156.513,668848.616,,980209.59,0.06,47.00,95.22
Говь-Алтай,Бугат,Тахийн тал,II,G010,45,33,4.5905,93,45,17.5578,5044470.104,558922.66,1764.965,980114,0.06,45.55,93.75
Говь-Алтай,Цээл,Цээл,II,G018,45,32,9.5681,95,50,33.6614,5046426.109,721946.653,2037.078,980046.24,0.08,45.54,95.84
Говь-Алтай,Алтай,Алтай,II,G077,44,37,32.3915,94,55,30.5992,4943170.49,652717.716,1451.101,980112.83,0.07,44.63,94.93
Говь-Алтай,Цогт,Цогт,II,G094,45,20,49.0000,96,39,10.0000,5024172.79,316123.399,2300.732,979958.99,0.04,45.35,96.65
Говь-Алтай,Чандмань,Чандмань,II,G083,45,20,21.5569,97,59,8.6684,5021146.139,420534.176,2279.227,979955.41,0.04,45.34,97.99
Говь-Сүмбэр,Сүмбэр,Сүмбэр,II,G022,46,34,14.7578,108,16,51.4613,5161058.487,291638.078,1268.934,980338.58,0.04,46.57,108.28
Дархан-Уул,Орхон,Дархан,II,G035,49,33,43.2949,105,59,12.4756,5490404.369,571360.799,715.188,980753.18,0.05,49.56,105.99
Орхон,Баянөндөр,Эрдэнэт,II,G029,48,59,16.0000,104,8,48.0000,5426447.907,437570.093,1285.583,980567.99,0.05,48.99,104.15
Дорноговь,Улаанбадрах,Улаанбадрах,II,G103,43,52,5.2866,110,25,1.8812,4857392.132,453170.267,978.521,980183.64,0.05,43.87,110.42
Дорноговь,Хөвсгөл,Хөвсгөл,II,G023,43,36,35.2589,109,39,11.7734,4829416.07,391321.534,998.792,980167.22,0.04,43.61,109.65
Дорноговь,Хатанбулаг,Хатанбулаг,II,G041,43,9,44.8327,109,8,37.7377,4780527.595,349102.966,1124.246,980080.92,0.06,43.16,109.14
Дорноговь,Иххэт,Иххэт,II,G0II,46,15,2.0000,110,10,30.0000,5122217.283,436407.392,1173.359,980345.16,0.02,46.25,110.18
Дорноговь,Алтанширээ,Алтанширээ,II,G097,45,31,38.0000,110,28,0.0000,5041659.142,458352.467,957.54,980340.26,0.04,45.53,110.47
Дорноговь,Дэлгэрэх,Дэлгэрэх,II,G066,45,47,53.0637,111,12,57.3510,5071635.101,516780.781,1064.013,980346.82,0.04,45.80,111.22
Дорнод,Матад,Сангийн далай,II,G014,46,57,18.0000,115,17,4.0000,5201591.84,369465.739,691.976,980509.52,0.03,46.96,115.28
Дорнод,Матад,Матад,II,G007,46,56,53.8000,115,16,28.3376,5200861.414,368695.56,915.529,980509.52,0.03,46.95,115.27
Дорнод,Баяндун,Баяндун,II,G800,49,14,12.7400,113,24,4.5217,5456563.55,674792.042,903.129,980711.83,0.04,49.24,113.40
Дорнод,Баян-Уул,Баян-Уул,II,G922,49,6,24.0000,112,39,42.0000,5440643.071,621276.336,900.687,980683.5,0.04,49.11,112.66
Дорнод,Дашбалбар,Дашбалбар,II,G304,49,32,34.0499,114,23,56.4651,5491048.797,311843.617,711.159,980788.89,0.04,49.54,114.40
Дорнод,Чойбалсан,Хавирга,II,G017,48,48,59.0000,115,12,6.0000,5408604.386,367985.398,703.97,980710.36,0.06,48.82,115.20
Дундговь,Цагаандэлгэр,Цагаандэлгэр,II,G027,46,24,20.7900,107,37,37.7796,5139228.575,466019.454,1343.597,980304.2,0.05,46.41,107.63
Дундговь,Дэрэн,Дэрэн,II,G015,46,12,34.5900,106,43,5.2000,5118771.81,632533.25,1285.626,980300.06,0.05,46.21,106.72
Дундговь,Гурвансайхан,Гурвансайхан,II,G020,45,31,33.2400,107,2,33.4552,5043403.43,659510.11,1164.451,980270.4,0.05,45.53,107.04
Дундговь,Дэлгэрхангай,Дэлгэрхангай,II,G089,45,14,19.4679,104,47,51.4726,5009491.982,484116.625,1471.344,980177.15,0.05,45.24,104.80
Дундговь,Өлзийт,Өлзийт,II,G064,44,56,12.7951,106,19,39.6837,4976796.822,604757.125,-,980208.64,0.05,44.94,106.33
Дундговь,Өндөршил,Өндөршил,II,G087,45,13,36.8700,108,16,45.7380,5011758.953,286421.446,1168.763,980258.37,0.05,45.23,108.28
Завхан,Отгон,Отгон,II,G081,47,12,42.1206,97,36,4.1933,5229638.991,394074.313,2158.153,980092.63,0.03,47.21,97.60
Завхан,Дөрвөлжин,Дөрвөлжин,II,G065,47,37,51.0115,95,1,42.8211,5282915.5,201662.988,1398.351,980378.93,0.06,47.63,95.03
Завхан,Сонгино,Сонгино,II,G088,49,1,1.1900,101,55,47.0625,5433481.32,714202.648,1796.944,980382.82,0.08,49.02,101.93
Завхан,Ургамал,Ургамал,II,G012,48,30,59.0704,94,16,46.4028,5374482.835,594981.284,1270.338,980504.9,0.03,48.52,94.28
Завхан,Тосонцэнгэл,Тосонцэнгэл,II,G005,48,44,26.5186,98,16,24.6186,5398885.786,446587.233,1709.948,980381.17,0.08,48.74,98.27
Өвөрхангай,Баруунбаян улаан,Баруунбаянулаан,II,G042,45,10,53.0876,101,28,16.4734,5006074.44,694155.812,1263.46,980170.1,0.04,45.18,101.47
